fullname,city,yearspracticing,proc,pharmadollars,services_count,score,test,last
TUCKER BIERBAUM,SANTA ROSA,,Emergency dept visit,,224,10,37,BIERBAUM
BRANDON L. SHULMAN,OAKLAND,14,Emergency dept visit,,17,10,37,SHULMAN
TATIANA M. MAMANTOV,CASTRO VALLEY,,Emergency dept visit,,151,10,37,MAMANTOV
GORTON LEE,OAKLAND,,Emergency dept visit,,15,10,37,LEE
LAURA E. STEINER,SAN JOSE,,Emergency dept visit,,28,10,37,STEINER
MICHAEL A. GARCIA,ANTIOCH,,Emergency dept visit,,32,10,37,GARCIA
RAND E. LITTLE,SAN JOSE,,Emergency dept visit,,113,10,37,LITTLE
HELEN C. KUO,RICHMOND,,Emergency dept visit,,15,10,37,KUO
ROBERT D. ARGAND,BURLINGAME,,Emergency dept visit,,61,10,37,ARGAND
VINO K. PALLI,SAN FRANCISCO,,Emergency dept visit,,288,10,37,PALLI
ALVARO F. HIDALGO,VALLEJO,15,Emergency dept visit,,15,10,37,HIDALGO
JERRY B. KIM,FAIRFIELD,,Emergency dept visit,,279,10,37,KIM
TOSHI HIRAOKA,FAIRFIELD,16,Emergency dept visit,,295,10,37,HIRAOKA
WILLIAM R. TOMKIEWICZ,SAN FRANCISCO,32,Emergency dept visit,,17,10,37,TOMKIEWICZ
AARON A. BURCHFIELD,SAN LEANDRO,,Emergency dept visit,,159,10,37,BURCHFIELD
MARSHA L. MUELLER,EMERYVILLE,,Emergency dept visit,,119,10,37,MUELLER
MARK G. WILLS,SONOMA,,Emergency dept visit,,104,10,37,WILLS
RALPH C. WANG,OAKLAND,,Emergency dept visit,,195,10,37,WANG
MICHAEL S. GELFOND,OAKLAND,,Emergency dept visit,,20,11,46,GELFOND
JEANNIE R. LABAT BUTLER,HAYWARD,,Emergency dept visit,,12,11,46,BUTLER
CAESAR R. DJAVAHERIAN,FAIRFIELD,12,Emergency dept visit,,47,11,46,DJAVAHERIAN
KATHERINE KELLY,MARYSVILLE,,Emergency dept visit,,14,11,46,KELLY
JUDITH L. DETHLEFS,LOS GATOS,,Emergency dept visit,,129,11,46,DETHLEFS
JEFFREY CROWDER,SOUTH SAN FRANCISCO,,Emergency dept visit,,250,11,46,CROWDER
YONG-YONG TAM,OAKLAND,38,Emergency dept visit,,11,11,46,TAM
ELLIOT NIPOMNICK,SAN FRANCISCO,36,Emergency dept visit,,60,11,46,NIPOMNICK
RICHARD BODONY,NOVATO,26,Emergency dept visit,,54,11,46,BODONY
STEVEN H. LESSER,EL CERRITO,,Emergency dept visit,,444,11,46,LESSER
SHIRLEY I. STIVER,SAN FRANCISCO,,Emergency dept visit,,21,11,46,STIVER
JENNIFER K. ROSSI,REDWOOD CITY,,Emergency dept visit,,457,11,46,ROSSI
TANGIE LEWIS,ANTIOCH,,Emergency dept visit,,29,11,46,LEWIS
GERALD R. FRIES,SAN FRANCISCO,,Emergency dept visit,,13,11,46,FRIES
JULIUS A. KAPLAN,SAN ANSELMO,,Emergency dept visit,,108,11,46,KAPLAN
VIJAY MENON,EMERYVILLE,,Emergency dept visit,,269,11,46,MENON
KELLEY R. FEELEY,OAKLAND,10,Emergency dept visit,,267,11,46,FEELEY
DAOUD HAMIDI,EMERYVILLE,,Emergency dept visit,,33,11,46,HAMIDI
THEOPHILE G. KOURY,WALNUT CREEK,21,Emergency dept visit,,151,11,46,KOURY
LESLIE KRIMM,ANTIOCH,,Emergency dept visit,,12,11,46,KRIMM
APARAJITA SOHONI,OAKLAND,,Emergency dept visit,,15,11,46,SOHONI
JENNIFER V. RYERSON,MOUNTAIN VIEW,,Emergency dept visit,,38,11,46,RYERSON
CLEMENT C. YEH,SAN FRANCISCO,,Emergency dept visit,,16,11,46,YEH
MICHAEL PHILLIPS,OAKLAND,,Emergency dept visit,,18,11,46,PHILLIPS
JOCELYN F. GARRICK,OAKLAND,,Emergency dept visit,,52,11,46,GARRICK
JOSELLE M. MONARCHI,BERKELEY,,Emergency dept visit,,40,11,46,MONARCHI
KIMBERLY A. SCHRAGE,SAN RAFAEL,15,Emergency dept visit,,19,11,46,SCHRAGE
KATE M. GLADMAN,MOUNTAIN VIEW,,Emergency dept visit,,28,11,46,GLADMAN
MARIA DE LA PAZ GUZMAN,SAN MATEO,,Emergency dept visit,,13,11,46,GUZMAN
MICHAEL J. BRESLER,BURLINGAME,41,Emergency dept visit,,186,11,46,BRESLER
JENNIFER M. WURZ,SAN LEANDRO,,Emergency dept visit,,45,11,46,WURZ
MARY E. JOHNSON,SAN FRANCISCO,15,Emergency dept visit,,66,11,46,JOHNSON
EDWARD HARD,SAINT HELENA,,Emergency dept visit,,201,11,46,HARD
REYNALDO M. BULAON,ANTIOCH,,Emergency dept visit,,40,11,46,BULAON
MONICA ROSENTHAL,OAKLAND,35,Emergency dept visit,,111,11,46,ROSENTHAL
SANDRA K. SAUNDERS,OAKLAND,27,Emergency dept visit,,76,11,46,SAUNDERS
RICHARD S. CHEN,SAN JOSE,,Emergency dept visit,,13,11,46,CHEN
DAVID C. KING,CASTRO VALLEY,,Emergency dept visit,,87,11,46,KING
VIRAJ S. LAKDAWALA,SAN FRANCISCO,,Emergency dept visit,,113,11,46,LAKDAWALA
MALIN SULLIVAN,SAN JOSE,,Emergency dept visit,,37,11,46,SULLIVAN
EDGAR H. CASTELLANOS,GILROY,,Emergency dept visit,,14,11,46,CASTELLANOS
JANET ROSSI,HAYWARD,,Emergency dept visit,,25,11,46,ROSSI
THOMAS R. WALLIN,EMERYVILLE,,Emergency dept visit,,23,11,46,WALLIN
KATHLEEN L. ROTH,OAKLAND,,Emergency dept visit,,13,11,46,ROTH
SUZANNE M. MILLER,REDWOOD CITY,,Emergency dept visit,,41,11,46,MILLER
AMANDEEP SINGH,OAKLAND,16,Emergency dept visit,,107,11,46,SINGH
SUZANNE LIPPERT,OAKLAND,,Emergency dept visit,,13,11,46,LIPPERT
AMBER M. LEHMANN,EMERYVILLE,,Emergency dept visit,,50,11,46,LEHMANN
JOHN F. BROWN,SAN FRANCISCO,,Emergency dept visit,,18,11,46,BROWN
SARAH L. WELSH,HAYWARD,,Emergency dept visit,,107,11,46,WELSH
PHILLIP PICCININI,SAN FRANCISCO,12,Emergency dept visit,,160,11,46,PICCININI
GARY MISHKIN,SAINT HELENA,,Emergency dept visit,,329,11,46,MISHKIN
HANG TRUONG,HAYWARD,,Emergency dept visit,,42,11,46,TRUONG
BARBARA R. CURRY-KAUFMAN,SOUTH SAN FRANCISCO,,Emergency dept visit,,30,11,46,CURRY-KAUFMAN
BARRY C. SIMON,OAKLAND,34,Emergency dept visit,,16,11,46,SIMON
ALLISON W. STROH,BERKELEY,,Emergency dept visit,,14,11,46,STROH
CARON R. AGHAREZA,SAN CARLOS,,Emergency dept visit,,534,11,46,AGHAREZA
PAMELA J. STUART,GILROY,,Emergency dept visit,,12,11,46,STUART
ULI K. CHETTIPALLY,SOUTH SAN FRANCISCO,,Emergency dept visit,,14,11,46,CHETTIPALLY
MICHAEL ELKINS,GILROY,,Emergency dept visit,,39,11,46,ELKINS
MARK A. ALDERDICE,DALY CITY,,Emergency dept visit,,31,11,46,ALDERDICE
ALVIN TANG,RICHMOND,,Emergency dept visit,,12,11,46,TANG
MARGARET L. SALMON,SAN FRANCISCO,8,Emergency dept visit,,163,11,46,SALMON
ROBERT V. BUEHL,SAN FRANCISCO,,Emergency dept visit,,37,11,46,BUEHL
ALASDAIR S. DONALD,SAN FRANCISCO,,Emergency dept visit,,45,11,46,DONALD
ERIC OTANI,ALAMEDA,,Emergency dept visit,,154,11,46,OTANI
DIANA EMERSON,SAN MATEO,,Emergency dept visit,,17,12,56,EMERSON
SANDRA S. STEFFENSON,CONCORD,,Emergency dept visit,,220,12,56,STEFFENSON
JENNIFER E. CYRKLER,CASTRO VALLEY,,Emergency dept visit,,349,12,56,CYRKLER
MICHAEL A. KOHN,BURLINGAME,,Emergency dept visit,,111,12,56,KOHN
ELAINE E. NELSON,SAN JOSE,,Emergency dept visit,,18,12,56,NELSON
BARRY J. CLEMENTS,CASTRO VALLEY,,Emergency dept visit,,146,12,56,CLEMENTS
SCOTT C. YU,EMERYVILLE,10,Emergency dept visit,,127,12,56,YU
ERYN BREIG,SAN FRANCISCO,,Emergency dept visit,,46,12,56,BREIG
STACEY L. MEREDITH,BERKELEY,,Emergency dept visit,,301,12,56,MEREDITH
PATRICK P. HAND,SAN FRANCISCO,22,Emergency dept visit,,261,12,56,HAND
JOEL S. KAHN,VALLEJO,33,Emergency dept visit,,138,12,56,KAHN
CHRISTOPHER R. DUTRA,OAKLAND,,Emergency dept visit,,264,12,56,DUTRA
ROBERT M. RODRIGUEZ,SAN FRANCISCO,27,Emergency dept visit,,22,12,56,RODRIGUEZ
ADAM H. SHIFFMAN,EMERYVILLE,,Emergency dept visit,,50,12,56,SHIFFMAN
DENNIS S. STEMPLER,DALY CITY,31,Emergency dept visit,,37,12,56,STEMPLER
CHRISTOPHER D. WHITE,BURLINGAME,29,Emergency dept visit,,103,12,56,WHITE
TABITHA DONIACH,SANTA ROSA,12,Emergency dept visit,,27,12,56,DONIACH
SAMI A. JADALLAH,SAN JOSE,23,Emergency dept visit,,76,12,56,JADALLAH
STEVEN N. BAILEY,OAKLAND,7,Emergency dept visit,,29,12,56,BAILEY
DAG SHAPSHAK,VALLEJO,,Emergency dept visit,,16,12,56,SHAPSHAK
DOUGLAS O'BRIEN,GREENBRAE,,Emergency dept visit,,16,12,56,O'BRIEN
LOUIS P. TRAN,EMERYVILLE,,Emergency dept visit,,172,12,56,TRAN
HAROLD S. WOO,WALNUT CREEK,17,Emergency dept visit,,298,12,56,WOO
HARRY B. ANDREWS,FREMONT,,Emergency dept visit,,153,12,56,ANDREWS
LESLIE FITZGIBBONS,CONCORD,21,Emergency dept visit,,203,12,56,FITZGIBBONS
ROBERT LANDMAN,SANTA ROSA,,Emergency dept visit,,78,12,56,LANDMAN
RONN M. BERROL,OAKLAND,,Emergency dept visit,,18,12,56,BERROL
BELINDA B. BIRKNER,MARYSVILLE,,Emergency dept visit,,48,12,56,BIRKNER
STUART B. SHIKORA,CONCORD,41,Emergency dept visit,,289,12,56,SHIKORA
ERIC R. SNOEY,OAKLAND,,Emergency dept visit,,72,12,56,SNOEY
RICHARD M. NAIDUS,SAN FRANCISCO,,Emergency dept visit,,42,12,56,NAIDUS
PETER J. TEICHMAN,SAN RAFAEL,,Emergency dept visit,,15,12,56,TEICHMAN
JOHN S. CHILES,WALNUT CREEK,,Emergency dept visit,,42,12,56,CHILES
LUCIA CHEN-LUFTIG,SAN FRANCISCO,,Emergency dept visit,,237,12,56,CHEN-LUFTIG
FARHAD ZAMANI,VACAVILLE,22,Emergency dept visit,,17,12,56,ZAMANI
WILFRED M. RICO,WALNUT CREEK,17,Emergency dept visit,,79,12,56,RICO
DARLENA M. MONET,SAN RAFAEL,22,Emergency dept visit,,15,12,56,MONET
CHRISTOPHER A. SASO,MOUNTAIN VIEW,,Emergency dept visit,,58,12,56,SASO
CATHERINE M. HURT,CONCORD,,Emergency dept visit,,224,12,56,HURT
JODI L. ADAMS,SAN FRANCISCO,,Emergency dept visit,,182,12,56,ADAMS
TONY H. YUAN,SAN JOSE,,Emergency dept visit,,524,12,56,YUAN
SHAUN PARTLOW,SAN PABLO,,Emergency dept visit,,58,12,56,PARTLOW
HELMUT W. MEISL,SAN JOSE,,Emergency dept visit,,307,12,56,MEISL
GUISOU MAHMOUD,EMERYVILLE,16,Emergency dept visit,,171,12,56,MAHMOUD
KATHRYN M. VOELKER,ANTIOCH,,Emergency dept visit,,59,12,56,VOELKER
SACHIE OSHIMA,HAYWARD,,Emergency dept visit,,305,12,56,OSHIMA
ALAN M. GELB,SAN FRANCISCO,,Emergency dept visit,,20,12,56,GELB
SUZAN R. GOODMAN,MOSS BEACH,,Emergency dept visit,,16,12,56,GOODMAN
BRIAN SAAVEDRA,SAN JOSE,,Emergency dept visit,,369,12,56,SAAVEDRA
SARAH M. EKBERG,CONCORD,,Emergency dept visit,,32,13,63,EKBERG
THOMAS W. CRAWFORD,SAN PABLO,,Emergency dept visit,,76,13,63,CRAWFORD
RACHEL L. CHIN,SAN FRANCISCO,,Emergency dept visit,,25,13,63,CHIN
DOUGLAS W. WHITE,OAKLAND,,Emergency dept visit,,121,13,63,WHITE
CYNTHIA B. CLARK,SAN RAFAEL,31,Emergency dept visit,,342,13,63,CLARK
FRANCES C. SCHLATTER,ANTIOCH,,Emergency dept visit,,656,13,63,SCHLATTER
DAVID K. ENGLISH,OAKLAND,30,Emergency dept visit,,99,13,63,ENGLISH
AMY ADAMS,PETALUMA,12,Emergency dept visit,,91,13,63,ADAMS
TRAVIS J. HEINING,SAN JOSE,14,Emergency dept visit,,124,13,63,HEINING
KURT H. KUNZEL,SAN RAFAEL,39,Emergency dept visit,,73,13,63,KUNZEL
MATTHEW P. BREWER,EMERYVILLE,6,Emergency dept visit,,23,13,63,BREWER
JUDITH R. KLEIN,SAN FRANCISCO,,Emergency dept visit,,26,13,63,KLEIN
CAROL L. HSU,SAN JOSE,,Emergency dept visit,,19,13,63,HSU
JAMES K. KEANEY,SAN LEANDRO,39,Emergency dept visit,,465,13,63,KEANEY
BENJAMIN S. LERMAN,OAKLAND,,Emergency dept visit,,55,13,63,LERMAN
MARK A. SLOMOFF,WALNUT CREEK,,Emergency dept visit,,451,13,63,SLOMOFF
RALPH J. DAMATO,CASTRO VALLEY,,Emergency dept visit,,134,13,63,DAMATO
KAREN R. BEN-NUN,SAN MATEO,,Emergency dept visit,,65,13,63,BEN-NUN
EDGAR E. VARGAS,NAPA,,Emergency dept visit,,28,13,63,VARGAS
MARK S. PENNER,SAN JOSE,16,Emergency dept visit,,23,13,63,PENNER
KAREN L. PIKE,SAN JOSE,,Emergency dept visit,,58,13,63,PIKE
STEPHEN E. MILLER,OAKLAND,,Emergency dept visit,,29,13,63,MILLER
JHONJAY T. POINDEXTER,MOSS BEACH,,Emergency dept visit,,23,13,63,POINDEXTER
RICHARD BERNINI,NAPA,44,Emergency dept visit,,24,13,63,BERNINI
STEPHANIE BLODGETT,MOUNTAIN VIEW,,Emergency dept visit,,75,13,63,BLODGETT
CLARK BISHOP,CAMPBELL,,Emergency dept visit,,63,13,63,BISHOP
TRAVIS M. HARRIS,VALLEJO,14,Emergency dept visit,,171,13,63,HARRIS
KULWINDER J. SINGH,MARYSVILLE,,Emergency dept visit,,580,13,63,SINGH
TIMOTHY J. DRAZEK,WALNUT CREEK,,Emergency dept visit,,494,13,63,DRAZEK
ADIN H. LEVINE,OAKLAND,29,Emergency dept visit,,42,13,63,LEVINE
PETER H. TOM,FREMONT,,Emergency dept visit,,24,13,63,TOM
CHRISTINE SMITH,ANTIOCH,,Emergency dept visit,,19,13,63,SMITH
DAVID E. DALLAFIOR,SAN FRANCISCO,,Emergency dept visit,,400,13,63,DALLAFIOR
ELIZABETH A. WILSON,SAN JOSE,,Emergency dept visit,,21,13,63,WILSON
JAMES A. HIRSHBERG,BERKELEY,,Emergency dept visit,,58,13,63,HIRSHBERG
KATRINA BARNETT,EMERYVILLE,,Emergency dept visit,,476,13,63,BARNETT
FARAMARZ MOTTALEI,NAPA,,Emergency dept visit,,420,13,63,MOTTALEI
SARAH M. KELMENSON-CHAU,BERKELEY,,Emergency dept visit,,376,13,63,KELMENSON-CHAU
WILLIAM M. WEBSTER,MARYSVILLE,,Emergency dept visit,,329,13,63,WEBSTER
ANNA R. CARL,SAN JOSE,,Emergency dept visit,,27,13,63,CARL
JEFFREY A. TABAS,SAN FRANCISCO,,Emergency dept visit,,27,13,63,TABAS
JACOB BENFORD,SAN JOSE,,Emergency dept visit,,627,13,63,BENFORD
SAMANTHA K. HONNER,OAKLAND,,Emergency dept visit,,21,13,63,HONNER
ERIN G. LITTMANN,SAN PABLO,,Emergency dept visit,,26,13,63,LITTMANN
JAMES C. SHIEH,ANTIOCH,35,Emergency dept visit,,371,13,63,SHIEH
STEVEN M. CARDEY,NAPA,,Emergency dept visit,,538,13,63,CARDEY
CHARLES R. ROSS,SAN FRANCISCO,21,Emergency dept visit,,477,13,63,ROSS
RUSSELL U. BRAUN,SAN FRANCISCO,,Emergency dept visit,,30,13,63,BRAUN
MILLAD RASHTI,SAN JOSE,,Emergency dept visit,,66,13,63,RASHTI
RENATA YOUNG,ANTIOCH,,Emergency dept visit,,72,13,63,YOUNG
JANET H. YOUNG,ANTIOCH,12,Emergency dept visit,,71,13,63,YOUNG
TRANG LUONG,SAN JOSE,,Emergency dept visit,,66,13,63,LUONG
KATHLEEN PERKINS,HAYWARD,,Emergency dept visit,,79,13,63,PERKINS
CODY S. SKAGGS,SAN FRANCISCO,,Emergency dept visit,,34,14,71,SKAGGS
ROBERT GOLOMB,OAKLAND,,Emergency dept visit,,25,14,71,GOLOMB
GREGG A. MILLER,SAN FRANCISCO,,Emergency dept visit,,32,14,71,MILLER
STEPHEN G. ANDERKA,SAN FRANCISCO,,Emergency dept visit,,33,14,71,ANDERKA
MICHAEL SHAFER,SAN FRANCISCO,,Emergency dept visit,,31,14,71,SHAFER
THOMAS D. SPRINKLE,NAPA,,Emergency dept visit,,89,14,71,SPRINKLE
DAVID FELDMAN,HANWARD,14,Emergency dept visit,,87,14,71,FELDMAN
ROCHELLE A. EGGLESTON PHILAPIL,CASTRO VALLEY,,Emergency dept visit,,45,14,71,PHILAPIL
SAMUEL KATZ,SAN RAMON,25,Emergency dept visit,,239,14,71,KATZ
MICHAEL H. ROKEACH,SAN FRANCISCO,,Emergency dept visit,,39,14,71,ROKEACH
THERESA PANKOWSKI,SAN JOSE,,Emergency dept visit,,31,14,71,PANKOWSKI
DANIEL G. GUENIN,BURLINGAME,,Emergency dept visit,,62,14,71,GUENIN
NEAL S. DICKLER,FREMONT,,Emergency dept visit,,506,14,71,DICKLER
DAN E. FOX,MOUNTAIN VIEW,,Emergency dept visit,,75,14,71,FOX
THOMAS V. TIGHE,WALNUT CREEK,,Emergency dept visit,,68,14,71,TIGHE
COLLEEN A. JOHNSON,PLEASANTON,13,Emergency dept visit,,95,14,71,JOHNSON
DOUGLAS A. WHITE,OAKLAND,,Emergency dept visit,,83,14,71,WHITE
JEFFREY M. THOMAS,OAKLAND,,Emergency dept visit,,66,14,71,THOMAS
TULLY WIEDMAN,DIXON,,Emergency dept visit,,86,14,71,WIEDMAN
SCOTT T. LANDECK,OAKLAND,,Emergency dept visit,,28,14,71,LANDECK
MICHAELA SHEPPHARD,PETALUMA,,Emergency dept visit,,42,14,71,SHEPPHARD
DENNIS K. ALFARO,PLEASANTON,27,Emergency dept visit,,287,14,71,ALFARO
TROY T. POPE,FAIRFIELD,,Emergency dept visit,,63,14,71,POPE
MICHAEL HOM,FREMONT,,Emergency dept visit,,31,14,71,HOM
PATRICIO M. CHAVEZ,ANTIOCH,33,Emergency dept visit,,71,14,71,CHAVEZ
ROBERT S. VENABLE,SAN JOSE,,Emergency dept visit,,241,14,71,VENABLE
JEFFREY J. LEINEN,EMERYVILLE,23,Emergency dept visit,,74,14,71,LEINEN
TIFFANY A. PURVIS,SAN JOSE,,Emergency dept visit,,43,14,71,PURVIS
JEFFREY B. LENCHNER,FREMONT,,Emergency dept visit,,548,14,71,LENCHNER
MICHAEL W. SUMMERS,SAN JOSE,,Emergency dept visit,,27,14,71,SUMMERS
KENNETH FRAUSTO,OAKLAND,,Emergency dept visit,,36,14,71,FRAUSTO
CELESTE M. SCANLON,CASTRO VALLEY,,Emergency dept visit,,31,14,71,SCANLON
STEPHEN A. KAHN,SONOMA,,Emergency dept visit,,69,14,71,KAHN
JOHN J. MEHARG,REDWOOD CITY,,Emergency dept visit,,124,14,71,MEHARG
CAITLIN H. BAILEY,OAKLAND,7,Emergency dept visit,,61,14,71,BAILEY
RANDEEP SINGH,SAN FRANCISCO,,Emergency dept visit,,333,14,71,SINGH
KELLY H. SHIMOKUSU,SAN FRANCISCO,19,Emergency dept visit,,62,14,71,SHIMOKUSU
MICHELLE R. FLEURAT,OAKLAND,,Emergency dept visit,,41,14,71,FLEURAT
SHAO-I HUANG,HAYWARD,14,Emergency dept visit,,98,14,71,HUANG
JORGE GONZALEZ,SEBASTOPOL,,Emergency dept visit,,115,14,71,GONZALEZ
KHOI A. LAM,SAN JOSE,23,Emergency dept visit,,773,14,71,LAM
ERIC S. KENLEY,SAN JOSE,11,Emergency dept visit,,125,15,77,KENLEY
LOUIS C. RIVERA,OAKLAND,,Emergency dept visit,,234,15,77,RIVERA
RYAN M. ROMEISER,BERKELEY,12,Emergency dept visit,,111,15,77,ROMEISER
ANNA D. ALONGI,EMERYVILLE,,Emergency dept visit,,35,15,77,ALONGI
ABIGAIL R. PEASE,OAKLAND,,Emergency dept visit,,304,15,77,PEASE
CHRISTOPHER K. SKAFF,ANTIOCH,,Emergency dept visit,,34,15,77,SKAFF
JARED K. HUBBELL,SONOMA,10,Emergency dept visit,,78,15,77,HUBBELL
DAVID A. ORENBERG,FREMONT,,Emergency dept visit,,46,15,77,ORENBERG
LAWRENCE H. GETTLER,SAN MATEO,,Emergency dept visit,,49,15,77,GETTLER
JOHN MARTIN,FREMONT,,Emergency dept visit,,124,15,77,MARTIN
MICHAEL J. PUTNAM,SAN JOSE,,Emergency dept visit,,167,15,77,PUTNAM
RYAN P. LAMB,BURLINGAME,15,Emergency dept visit,,95,15,77,LAMB
SHALIN H. PATEL,SAN JOSE,,Emergency dept visit,,112,15,77,PATEL
VERONIQUE L. AU,OAKLAND,13,Emergency dept visit,,173,15,77,AU
TRACY PITCHER,EMERYVILLE,11,Emergency dept visit,,38,15,77,PITCHER
TAN K. NGUYEN,HAYWARD,,Emergency dept visit,,113,15,77,NGUYEN
JANNE BOWEN-WILLIAMS,FAIRFAX,,Emergency dept visit,,42,15,77,BOWEN-WILLIAMS
HERBERT E. HERN,OAKLAND,23,Emergency dept visit,,117,15,77,HERN
JOHN E. RAMPULLA,SAN PABLO,36,Emergency dept visit,,158,15,77,RAMPULLA
JEREMY S. LYNN,OAKLAND,,Emergency dept visit,,40,15,77,LYNN
COLIN M. BUCKS,REDWOOD CITY,,Emergency dept visit,,111,15,77,BUCKS
JOHN K. BURKE,OAKLAND,22,Emergency dept visit,,33,15,77,BURKE
SEAN PARKIN,OAKLAND,,Emergency dept visit,,73,15,77,PARKIN
SAWSAWN HAYATDAVOUDI,SAN JOSE,,Emergency dept visit,,33,15,77,HAYATDAVOUDI
WILLIAM A. WOOD,BERKELEY,,Emergency dept visit,,48,15,77,WOOD
JULIE JUNG,SAN JOSE,,Emergency dept visit,,78,15,77,JUNG
JEREMY D. TILLIM,SAN LEANDRO,29,Emergency dept visit,,40,15,77,TILLIM
HEIDI F. QUEEN,DALY CITY,,Emergency dept visit,,43,15,77,QUEEN
CHRISTOPHER J. PILACZYNSKI,FAIRFIELD,,Emergency dept visit,,58,15,77,PILACZYNSKI
CYNTHIA S. PENN-DUECKER,PLEASANTON,29,Emergency dept visit,,56,15,77,PENN-DUECKER
MARC SNYDER,SAN FRANCISCO,,Emergency dept visit,,51,15,77,SNYDER
ROBERT VALENTINE,OAKLAND,,Emergency dept visit,,33,15,77,VALENTINE
FRANK ZEIDAN,FREMONT,,Emergency dept visit,,59,15,77,ZEIDAN
TINGTING C. KO,SAN PABLO,16,Emergency dept visit,,154,15,77,KO
EDWARD D. LEE,ALAMEDA,22,Emergency dept visit,,111,15,77,LEE
BECKY SCHMITZ,SAN FRANCISCO,,Emergency dept visit,,63,15,77,SCHMITZ
HAROLD W. WILKIE,SAN RAMON,,Emergency dept visit,,52,15,77,WILKIE
BARBIE J. BARRETT,BURLINGAME,38,Emergency dept visit,,91,15,77,BARRETT
RENATE M. NADLER,GILROY,,Emergency dept visit,,110,15,77,NADLER
JOSEPH T. MCCORMICK,ANTIOCH,,Emergency dept visit,,48,15,77,MCCORMICK
RUSSELL G. RODRIGUEZ,ANTIOCH,12,Emergency dept visit,,106,15,77,RODRIGUEZ
HARTWELL N. LIN,CONCORD,19,Emergency dept visit,,126,15,77,LIN
LEIF A. JOHNSON,ALAMEDA,,Emergency dept visit,,105,15,77,JOHNSON
SILAS M. PATLOVE,SAN PABLO,,Emergency dept visit,,69,15,77,PATLOVE
LAURA A. COOK,SAN JOSE,27,Emergency dept visit,,101,15,77,COOK
BARBARA L. BOND,OAKLAND,,Emergency dept visit,,62,15,77,BOND
BENJAMIN D. WIEDERHOLD,OAKLAND,7,Emergency dept visit,,236,15,77,WIEDERHOLD
PHUNG THAI,MOUNTAIN VIEW,,Emergency dept visit,,59,15,77,THAI
DAVID GOLDSCHMID,PALO ALTO,,Emergency dept visit,,39,15,77,GOLDSCHMID
ISIS A. LALAND,HEALDSBURG,,Emergency dept visit,,91,15,77,LALAND
ROBERT D. COHEN,SONOMA,,Emergency dept visit,,71,15,77,COHEN
JOEL STETTNER,ALAMEDA,43,Emergency dept visit,,54,16,85,STETTNER
KRISTEN DONALDSON,EMERYVILLE,,Emergency dept visit,,61,16,85,DONALDSON
ARIELLA JESSEL,OAKLAND,,Emergency dept visit,,56,16,85,JESSEL
ROBERT F. BUSCHO,DALY CITY,46,Emergency dept visit,,60,16,85,BUSCHO
STEVE M. SORNSIN,OAKLAND,,Emergency dept visit,,58,16,85,SORNSIN
HERIBERTO OCASIO,SAN FRANCISCO,,Emergency dept visit,,62,16,85,OCASIO
JAMES E. STARR,BERKELEY,,Emergency dept visit,,228,16,85,STARR
ARTHUR SORRELL,SAN FRANCISCO,,Emergency dept visit,,66,16,85,SORRELL
THOMAS P. WELP,EMERYVILLE,,Emergency dept visit,,65,16,85,WELP
TODD KESSINGER,SAN FRANCISCO,19,Emergency dept visit,,53,16,85,KESSINGER
WALTER E. SHORES,SAN JOSE,,Emergency dept visit,,90,16,85,SHORES
CARL R. SPITZER,GREENBRAE,25,Emergency dept visit,,65,16,85,SPITZER
SHERRY M. BIRD,SAN FRANCISCO,,Emergency dept visit,,51,16,85,BIRD
JOSE R. MIRANDA,SAINT HELENA,,Emergency dept visit,,75,16,85,MIRANDA
CHRISTOPHER T. ROOKE,SAN FRANCISCO,,Emergency dept visit,,62,16,85,ROOKE
PRESTON C. MAXIM,SAN FRANCISCO,,Emergency dept visit,,69,16,85,MAXIM
HOWARD D. YOSHIOKA,PLEASANTON,27,Emergency dept visit,,77,16,85,YOSHIOKA
EDWARD Y. KAN,PLEASANTON,13,Emergency dept visit,,77,16,85,KAN
MICHAEL J. COSTELLO,PLEASANTON,21,Emergency dept visit,,73,16,85,COSTELLO
STEPHEN D. CADY,SAN PABLO,14,Emergency dept visit,,173,16,85,CADY
DOUGLAS J. EVANS,SAN FRANCISCO,,Emergency dept visit,,339,16,85,EVANS
LAWRENCE R. BURCHETT,MARTINEZ,8,Emergency dept visit,,115,16,85,BURCHETT
ARMANDO SAMANIEGO,EMERYVILLE,26,Emergency dept visit,,98,16,85,SAMANIEGO
MARILYN S. DEVRIES,ALAMEDA,,Emergency dept visit,,62,16,85,DEVRIES
CHERIE A. HARGIS,OAKLAND,,Emergency dept visit,,223,16,85,HARGIS
MADELINE B. DEUTSCH,SAN FRANCISCO,13,Emergency dept visit,,57,16,85,DEUTSCH
ROBERT JAGGER,LAFAYETTE,,Emergency dept visit,,79,16,85,JAGGER
MARGARITA C. BAUTISTA,SAN JOSE,,Emergency dept visit,,134,16,85,BAUTISTA
CHARLES A. NEUMANN,EL CERRITO,39,Emergency dept visit,,60,16,85,NEUMANN
KETAN H. PATEL,REDWOOD CITY,,Emergency dept visit,,94,16,85,PATEL
JOSEPH W. WOO,SAN FRANCISCO,23,Emergency dept visit,,73,16,85,WOO
THOMAS J. PEITZ,SAN FRANCISCO,,Emergency dept visit,,69,16,85,PEITZ
